"CIT","DIS","DOU","EDI","EHHS","HH050","HHS","HID","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS100","HS110","HY010","HY020","HY025","HY030","HY040","HY050","HY060","HY070","HY080","HY090","HY100","HY110","HY120","HY130","HY140","INC","PROV","REG","SOC","UEP","stratum","N_h","n_h","inclusion_prob","design_weight","S"
777,"20","1",12862.5240517583,1.5,1,2,"2441594","1","1","1","1","1","1","1","1","1","1",47352.9352257326,19293.7860776374,1,4710.14345832049,0,0,194.545850725898,0,9913.42659294605,702.06601262965,1797.52599420349,0,247.24804799096,0,26014.3751059007,31832.7533111105,"5","2",644.753311110511,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
392,"12","1",12437.3411370261,1.5,1,2,"2486831","1","1","1","1","1","2","1","1","1","2",26819.9574067536,18656.0117055391,1,6001.373470971,0,0,0,0,9918.75544264913,1196.65524361096,0,0,881.742206593188,7282.20349462128,0,9703.17324952246,"4","2",376.173249522464,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
478,"14","1",0,1.3,1,2,"770970","1","1","1","2","1","2","1","1","1","1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","2",0,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
741,"20","1",12823.0119302249,2,1,3,"1525629","1","1","1","1","1","2","1","1","1","1",36262.2798513054,25646.0238604499,1,0,0,5459.7680000184,0,0,9860.22200090811,149.784233447083,950.817168275225,0,3097.99987963297,0,6567.43894294729,20792.5056169318,"5","2",735.505616931771,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
478,"14","1",16134.8735728041,1.8,1,3,"772538","1","1","1","1","1","2","1","1","1","1",31629.148479021,29042.7724310474,1,7398.52282347623,0,1250.71387760119,0,0,9831.80334893987,0,0,0,1713.21976689304,0,873.156281080514,13148.1084290037,"4","2",217.108429003679,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
713,"19","1",10695.3071535656,2.1,1,4,"504380","1","1","1","2","1","1","1","1","1","1",29039.1694722673,22460.1450224877,1,5842.630064733,0,2198.46557190451,7616.54236980826,0,9896.80112758651,504.425578002096,0,0,975.048245395534,1881.3240644671,3722.65213991702,2980.30476023297,"5","2",2980.30476023297,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
529,"15","1",32249.5733312477,2.8,1,5,"1970772","1","1","1","1","1","1","1","1","1","1",103275.87972075,90298.8053274935,1,6261.13153642414,0,4210.90683040766,2955.34543677518,0,9907.24031990394,7556.77334460082,3782.6650852976,0,0,0,9194.40930795892,72384.4822526383,"4","2",26554.2676008121,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
773,"20","1",20450.6213391736,2.1,1,4,"1633713","1","1","1","1","1","1","1","1","1","1",54176.5936454745,42946.3048122646,1,0,5571.44292806461,4962.59210295894,5007.7583146131,763.751862438396,10081.6964299418,0,3807.14643040961,0,964.64853992559,498.581175120063,5959.91268775467,27789.3520074577,"5","2",729.086139052473,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
489,"14","1",22970.539815943,1.5,1,2,"622022","2","2","2","1","1","1","1","1","1","3",36325.310099189,34455.8097239144,1,2544.64329982478,0,8254.80716427455,0,0,9808.49056029692,0,0,0,1345.36923059925,0,524.131144675259,15717.3690747927,"4","2",15717.3690747927,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
346,"11","1",8429.57526104137,1.6,1,3,"1561747","1","1","1","1","1","2","1","1","1","1",18532.6592285546,13487.3204176662,1,1390.56121445342,0,4289.81593236166,9311.51740644206,0,0,2013.87625110329,0,0,889.663461792064,0,4155.6753490963,1526.88842419413,"4","2",1526.88842419413,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
551,"15","1",28370.0888040248,1.5,1,2,"849022","1","1","1","1","1","1","1","1","1","1",49648.5817866106,42555.1332060372,1,0,7.45503058929695,0,0,0,10138.2899773307,0,0,0,2639.89970291138,0,4453.54887766205,39502.8367786906,"4","2",169.116569763743,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
509,"14","1",7976.48682273813,2,1,3,"2497040","1","1","1","1","1","1","1","1","1","1",74125.2971483854,15952.9736454763,1,1925.40575460881,0,1131.35085737411,0,0,9875.86259245872,0,42577.4301650326,0,1286.31643216765,0,14308.5769057089,61192.6779439437,"4","2",6132.0768221131,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
392,"12","1",10696.8608090741,1.5,1,2,"2486673","1","1","1","2","1","2","1","1","1","1",22127.8480423164,16045.2912136111,1,6665.84044552038,0,0,0,0,10085.8147813007,555.575583870225,0,0,173.493362556854,0,5909.0634661484,4820.61723162506,"4","2",552.617231625058,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
777,"20","1",19554.0003180316,2,1,3,"2442208","1","1","1","1","1","1","1","1","1","1",41385.2362060024,39108.0006360631,1,0,0,0,226.398398368305,0,10002.7281504124,7011.77391858433,0,0,330.31733830672,1946.91823163256,0,24144.3357386373,"5","2",7520.741387414,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
468,"13","1",21495.0719560973,1.5,1,2,"2856516","1","1","1","1","1","1","1","1","1","1",52441.1331403915,32242.6079341459,1,6582.89523545899,0,0,0,0,9883.38521933183,0,0,0,0,0,20198.5252062456,35974.8526856007,"4","2",211.852685600664,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
392,"12","1",25655.0980017475,2.3,1,4,"2488935","1","1","1","1","1","2","1","1","1","1",64229.2053203568,59006.7254040193,1,6364.29222484746,0,2545.11567713484,2291.89893097552,6181.55566063779,9833.0810347572,674.545867039764,0,0,502.908186956737,2901.06595278857,1818.50577659223,36338.7159249642,"4","2",7672.95750401704,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
422,"12","1",43698.4971029031,1.5,1,2,"641007","1","1","1","1","1","1","1","1","1","1",66500.7147125458,65547.7456543546,1,4225.51335640609,0,0,0,0,9969.48905577883,976.001792227859,0,0,952.969058191203,0,0,51329.7105081331,"4","2",251.821998490817,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
736,"19","1",29836.5759773647,1.5,1,2,"3357982","2","2","2","1","1","1","1","1","1","1",47849.2919382865,44754.863966047,1,0,0,0,1908.28493587804,0,10036.0760218464,1827.47761639217,0,0,3094.42797223953,0,0,34077.4533641699,"5","2",16258.4533641699,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
779,"20","1",13348.9788088111,2,1,3,"1737788","1","1","1","1","1","1","1","1","1","1",26697.9576176222,26697.9576176222,1,7081.39029483451,0,0,0,0,9919.88530941308,0,0,0,0,0,0,9696.68201337465,"5","2",9696.68201337465,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
713,"19","1",17542.7974233202,1.8,1,3,"504808","1","1","1","1","1","1","1","1","1","1",39312.1556613639,31577.0353619763,1,0,0,2878.13039741654,0,0,10064.9305291474,0,0,0,0,6154.47276563162,1580.6475337559,26369.0947347999,"5","2",9282.2376118068,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
464,"13","1",17323.5820837252,1.5,1,2,"278461","1","1","1","1","1","1","1","1","1","1",54396.1886722608,25985.3731255878,1,14373.3900300797,0,1256.47288435758,0,0,9813.27831102535,0,0,0,1062.0687346256,0,27348.7468120474,28953.0474467981,"4","2",138.047446798109,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
728,"19","1",15534.5969609516,2.5,1,4,"2738","1","1","1","1","1","1","1","1","1","1",39053.08539898,38836.492402379,1,5979.26301450308,0,2769.24935957979,0,2147.16971294425,10152.2368924692,21.2931783691794,0,0,0,0,216.592996600978,17983.8732411145,"5","2",752.873241114486,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
644,"17","1",34478.2722272125,1.5,1,2,"3721607","1","1","1","1","1","1","1","1","1","1",55642.5889472464,51717.4083408187,1,7967.4787039943,0,4759.89527626709,0,0,9833.51696878672,95.2392823797232,2929.27005901487,0,0,0,995.910547412797,32986.4587158185,"5","2",7972.45871581853,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
620,"17","1",5686.05813307646,1.6,2,3,"3582810","1","1","1","2","1","2","1","3","1","2",21371.4589596307,9097.69301292234,1,0,0,1599.91829803495,15.3909719838575,0,10085.9448357485,0,0,0,1282.21756775031,0,10991.5483789581,9670.2048538634,"5","2",130.204853863399,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
643,"17","1",11907.7984934588,1,1,1,"2445202","1","1","1","1","1","1","1","1","1","1",26796.8265204961,11907.7984934588,1,3433.49649043372,0,0,0,1071.01246138611,9966.2397088483,3.77183004654245,12437.1207514856,0,2312.98861464606,0,138.918660905659,12322.3060297814,"5","2",179.306029781448,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
634,"17","1",58354.1542721605,1,1,1,"1387266","1","1","1","1","1","1","1","1","1","1",59557.7242728651,58354.1542721605,1,6920.23689674772,0,0,0,3897.68068097573,9869.31155323982,0,0,0,1203.57000070462,0,0,38870.4951419018,"5","2",30.4951419018488,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
376,"12","1",0,1.3,1,2,"978450","1","1","1","2","1","2","1","1","1","1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","2",0,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
777,"20","1",10673.3282746219,1,1,1,"2442192","1","1","1","2","1","1","1","3","1","1",24480.7454636379,10673.3282746219,1,590.983153897285,0,0,0,0,10087.6542582177,0,9476.74945726903,0,161.90706402051,0,4168.7606677264,13802.1080515229,"5","2",57.108051522905,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
773,"20","1",50874.5301997024,1.5,1,2,"1633060","1","1","1","2","1","1","1","1","1","1",78968.2945239132,76311.7952995535,1,0,0,0,2143.47903048506,0,9936.60216750577,511.750493728537,0,0,1362.81135833001,0,1293.68786602966,66376.4628321938,"5","2",311.46283219384,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
695,"18","1",299.868713204374,1.3,1,2,"3549743","1","1","1","2","2","2","1","1","1","1",13011.8563002694,389.829327165686,1,3288.37084850669,0,0,0,0,2881.76705559965,0,8960.12019408618,0,3654.35291660035,7.55386241717264,0,6841.71839616304,"5","2",134.718396163043,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
380,"12","1",17948.4479917665,2.5,1,4,"1914929","1","1","1","1","1","1","1","1","1","1",64187.8256475997,44871.1199794161,1,0,0,12165.7576485067,0,0,10004.0408036672,12.0372458865424,0,0,0,4054.57770503782,15262.1279631457,42005.9899495392,"4","2",5900.98994953923,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
489,"14","1",23953.3324622737,2.4,1,5,"621759","1","1","1","1","1","1","1","1","1","1",46917.4979954842,19162.6659698189,3,4026.62829474594,0,4719.27014097403,973.045070474502,0,10187.1819987893,25.8353409637511,14338.0255367475,0,1281.22113608204,604.342126685428,11531.2432261503,26985.5371495367,"4","2",1980.53714953671,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
702,"19","1",97.2103015199816,1,2,1,"1777358","2","2","2","2","1","2","1","1","3","3",97.2103015199816,97.2103015199816,1,0,0,0,0,0,0,97.2103015199816,0,0,0,0,0,0,"5","2",0,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
380,"12","1",25927.2778494798,1.5,1,2,"1914323","1","1","1","1","1","1","1","1","1","1",50247.532781121,38890.9167742197,1,9929.81485286178,0,0,0,0,10189.8685685359,193.973481363396,0,0,561.166177522738,0,10795.4498293785,29933.87587836,"4","2",292.875878359959,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
762,"20","1",19207.6874475722,1.5,1,2,"658600","1","1","1","1","1","1","1","1","1","1",51205.339042875,28811.5311713584,1,0,0,0,0,0,10184.5437747426,0,9479.44369047439,0,1127.28690419335,0,11787.0772768489,41020.7952681323,"5","2",180.795268132347,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
392,"12","1",7.12490942565724,1,1,1,"2487526","1","1","1","2","2","2","1","1","1","1",7.12490942565724,7.12490942565724,1,0,0,0,0,0,0,7.12490942565724,0,0,0,0,0,0,"4","2",0,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
613,"17","1",16330.7930544224,3,1,5,"1235519","1","1","1","1","1","1","1","1","1","1",64144.2716258471,48992.3791632671,1,4430.56245920528,0,6551.6038710518,1369.88904709978,0,9919.21894950792,61.607798982712,1145.82248621674,0,0,3045.29222550187,10960.7777508614,41811.3894999996,"5","2",13748.8679764927,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
778,"20","1",19632.6393715604,2,1,3,"2866898","1","1","1","1","1","2","1","1","1","1",48017.3940202799,39265.2787431208,1,16627.762216034,0,2190.58067075438,0,4333.12841691026,9937.74736681953,0,0,0,1085.59255741689,0,7666.52271974219,14928.1753497617,"5","2",5337.17534976171,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
483,"14","1",32800.6518344857,1.5,1,2,"3249013","1","1","1","1","1","1","1","1","1","1",65636.1783681834,49200.9777517285,1,0,0,0,0,0,9925.41627557948,377.857522675993,3712.56462037277,0,919.161783420253,0,11803.4742126619,55332.904569928,"4","2",12311.5868288025,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
376,"12","1",35242.3711842503,2.3,1,4,"978421","1","1","1","1","1","1","1","1","1","1",99974.6038237162,81057.4537237757,1,0,0,2808.90835054926,13368.8741541735,0,10140.5699701048,216.804791511893,0,0,0,5555.64288813325,13361.5072118072,73439.4465573766,"4","2",147.06342183019,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
620,"17","1",80042.8556125045,2.8,1,5,"3582312","1","1","1","1","1","1","1","1","1","1",66095.2237919139,56029.9989287531,4,0,0,3686.16274900084,100.258276121323,0,10191.2710287608,68.8947197897732,0,0,855.788419691729,0,9209.43644346899,52048.6370182411,"5","2",17347.2352214571,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
422,"12","1",174268.947748062,3,1,5,"642985","1","1","1","1","1","1","1","1","1","1",68147.5697930633,58089.6492493539,9,0,0,17766.4250849444,0,0,10161.5228191949,98.5666491318028,33.106013002377,0,942.949569222382,994.280084710345,8087.58487677433,40121.0552397922,"4","2",5945.05523979221,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
735,"19","1",20493.539009257,1.5,1,2,"912540","1","1","1","1","1","1","1","1","1","1",30740.3085138855,30740.3085138855,1,8985.6439154062,0,0,0,0,10161.4402243868,1770.90634890605,0,0,0,0,0,9822.31802518652,"5","2",247.318025186523,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
613,"17","1",16501.3221316927,2,1,3,"1235003","1","1","1","1","1","2","1","1","1","1",37337.6459111668,33002.6442633854,1,0,0,0,0,0,10195.023637265,0,0,0,347.242385373749,2691.91842852445,1295.84083388314,27142.6222739018,"5","2",318.62227390178,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
635,"17","1",43042.6220392859,1.5,1,2,"698381","1","1","1","2","1","1","1","1","1","1",65893.7285106594,64563.9330589289,1,1676.19522638147,0,0,0,0,10087.6970528625,3424.51301650867,0,0,1329.79545173058,0,0,50705.3232149068,"5","2",226.323214906803,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
778,"20","1",11063.5698802751,1.5,1,2,"2865521","1","1","1","1","1","1","1","1","1","1",33094.1195336668,16595.3548204127,1,1184.13423010164,0,0,0,0,10089.6459126845,286.663187729227,14031.4189822575,0,768.103813204532,0,1699.24191779211,21533.6762031514,"5","2",160.676203151448,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
567,"15","1",8595.30609991489,1.3,1,2,"3620495","2","2","2","1","1","2","1","1","1","3",11173.8979298894,11173.8979298894,1,0,8457.83814162392,0,0,0,0,2716.05978826544,0,0,0,0,0,0,"4","2",0,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
